Apfel;apple;Isaac Newton discovered the laws of gravity after seeing an apple fall from a tree.
Baum;tree;There are many trees in a forest.
Haus;house;I live in a big house.
Fahrrad;bike;Going by bike is better for the environment than taking a car.
Tisch;table;
Stuhl;chair;
Bett;bed;You sleep best in your ow comfortable bed.
Blume;flower;Giving flowers to a girl you like seems romantic, but is actually rather pointless.
Lampe;lamp;
Tür;door;You can lock the door to your room if you don't want your siblings coming in.
